test_point_id,mode,config,sm_split,size_regime,is_anchor,k0_bytes,k1_bytes,large_kernel_id,large_kernel_path,reuse_N,blocks_k0,blocks_k1,threads_per_block,trials,plateau_reached,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_cached_pct,l2_hit_rate_zc,l2_hit_rate_cached,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
sym_0,symmetric,shared,0:0,l1,1,786432,786432,1,zerocopy,32,256,512,256,10,0,0.654614,230.663,163.008,144.401,-9.014,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,1,1024,64,256,10,0,0.053440,95.655,89.292,106.354,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,2,1024,64,256,10,0,0.077201,132.429,100.658,110.473,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,4,1024,64,256,10,0,0.134529,151.991,95.455,104.170,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,8,1024,64,256,10,0,0.237650,172.078,107.526,109.988,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,16,1024,64,256,10,0,0.429956,190.226,112.824,116.051,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,cached,32,1024,64,256,10,0,0.819400,199.631,115.009,118.482,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,1,256,1024,256,10,0,0.042544,120.152,144.565,134.239,25.610,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,2,256,1024,256,10,0,0.067601,151.235,192.231,138.727,14.200,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,4,256,1024,256,10,0,0.111937,182.667,151.884,136.621,20.183,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,8,256,1024,256,10,0,0.194594,210.153,163.861,141.117,22.126,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,16,256,1024,256,10,0,0.362100,225.874,173.223,143.768,18.740,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_1,symmetric,shared,0:0,l1,1,851968,851968,1,zerocopy,32,256,1024,256,10,0,0.701110,233.313,165.409,142.489,16.872,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,1,1024,64,256,10,0,0.071520,131.952,110.744,105.931,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,2,1024,64,256,10,0,0.121809,154.951,101.466,101.869,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,4,1024,64,256,10,0,0.224386,168.231,96.923,99.607,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,8,1024,64,256,10,0,0.435252,173.457,93.323,96.788,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,16,1024,64,256,10,0,0.860232,175.528,95.578,96.679,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,cached,32,1024,64,256,10,0,1.691807,178.501,96.570,96.799,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,1,64,128,256,10,0,0.074289,127.033,91.389,103.587,-3.727,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,2,64,128,256,10,0,0.123665,152.624,94.508,101.746,-1.501,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,4,64,128,256,10,0,0.222674,169.525,94.705,99.894,0.769,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,8,64,128,256,10,0,0.430996,175.170,92.645,97.949,0.987,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,16,64,128,256,10,0,0.850072,177.626,95.402,98.202,1.195,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_small,symmetric,shared,0:0,l1,0,1572864,1572864,1,zerocopy,32,64,128,256,10,0,1.675550,180.233,96.868,97.718,0.970,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,1,4096,4096,256,10,1,0.835320,185.430,178.659,96.962,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,2,4096,4096,256,10,1,1.646479,188.151,124.479,96.339,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,4,4096,4096,256,10,1,3.273981,189.242,107.947,95.966,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,8,4096,4096,256,10,1,6.533818,189.651,101.093,95.684,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,16,4096,4096,256,10,1,13.053076,189.863,97.972,95.572,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,cached,32,4096,4096,256,10,1,26.145127,189.580,96.288,95.304,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,1,4096,4096,256,10,1,0.843495,183.633,179.968,96.225,-0.969,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,2,4096,4096,256,10,1,1.659999,186.619,124.139,95.641,-0.814,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,4,4096,4096,256,10,1,3.272813,189.309,108.287,96.053,0.036,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,8,4096,4096,256,10,1,6.535594,189.600,101.173,95.726,-0.027,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,16,4096,4096,256,10,1,13.078324,189.496,97.823,95.400,-0.193,NA,NA,1300,MAXN,54.8,13.2,13.2
sym_ctx_large,symmetric,shared,0:0,dram,0,25815552,25815552,1,zerocopy,32,4096,4096,256,10,1,26.127479,189.708,96.368,95.354,0.068,NA,NA,1300,MAXN,54.8,13.2,13.2
