size_per_buffer_bytes,read_footprint_bytes,total_footprint_bytes,reuse_N,blocks,threads_per_block,saturated,trials,time_ms_median,time_ms_min,time_ms_max,time_ms_std,per_launch_ms_median,achieved_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
262144,524288,786432,16,256,256,1,10,0.080864,0.079680,0.086624,0.001848,0.005054,155.606,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,512,256,0,10,0.089520,0.088160,0.094528,0.001692,0.005595,140.560,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,16,1024,256,0,10,0.111168,0.108256,0.112000,0.000976,0.006948,113.188,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,16,256,0,10,0.217984,0.215392,0.221056,0.001884,0.006812,115.448,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,32,256,0,10,0.171952,0.167936,0.173888,0.002106,0.005374,146.354,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,64,256,1,10,0.154272,0.151552,0.157408,0.001803,0.004821,163.126,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,128,256,0,10,0.157568,0.155360,0.161824,0.001644,0.004924,159.714,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,256,256,0,10,0.158528,0.156288,0.163936,0.002024,0.004954,158.747,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,512,256,0,10,0.174768,0.172672,0.180704,0.002129,0.005462,143.996,1300,MAXN,53.0,13.2,13.2
262144,524288,786432,32,1024,256,0,10,0.217952,0.215552,0.224064,0.002238,0.006811,115.465,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,16,256,0,10,0.013360,0.012832,0.018336,0.001562,0.013360,117.729,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,32,256,0,10,0.010384,0.010048,0.015104,0.001516,0.010384,151.470,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,64,256,1,10,0.009328,0.008896,0.013056,0.001197,0.009328,168.617,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,128,256,0,10,0.009600,0.009216,0.013920,0.001329,0.009600,163.840,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,256,256,0,10,0.009664,0.009376,0.013856,0.001404,0.009664,162.755,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,512,256,0,10,0.009824,0.009344,0.013952,0.001296,0.009824,160.104,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,1,1024,256,0,10,0.010912,0.010368,0.015328,0.001361,0.010912,144.141,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,16,256,0,10,0.022784,0.021824,0.027712,0.001559,0.011392,138.067,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,32,256,0,10,0.017072,0.016864,0.022176,0.001529,0.008536,184.262,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,64,256,1,10,0.015120,0.014144,0.020864,0.001846,0.007560,208.051,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,128,256,0,10,0.015792,0.014976,0.020896,0.001610,0.007896,199.198,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,256,256,1,10,0.015408,0.014912,0.021824,0.001940,0.007704,204.162,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,512,256,0,10,0.015808,0.014816,0.021504,0.001778,0.007904,198.996,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,2,1024,256,0,10,0.017904,0.017632,0.023488,0.001683,0.008952,175.700,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,16,256,0,10,0.042128,0.041472,0.046816,0.001454,0.010532,149.341,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,32,256,0,10,0.030240,0.029888,0.036320,0.001829,0.007560,208.051,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,64,256,1,10,0.026448,0.025376,0.029504,0.001038,0.006612,237.880,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,128,256,0,10,0.027712,0.026848,0.029984,0.000790,0.006928,227.030,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,256,256,1,10,0.026352,0.025504,0.030144,0.001312,0.006588,238.747,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,512,256,0,10,0.028224,0.027616,0.030784,0.000870,0.007056,222.912,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,4,1024,256,0,10,0.032432,0.032160,0.034816,0.000745,0.008108,193.989,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,16,256,0,10,0.081312,0.079808,0.086944,0.001870,0.010164,154.749,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,32,256,0,10,0.057632,0.056448,0.062176,0.001532,0.007204,218.332,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,64,256,1,10,0.049856,0.049248,0.054816,0.001572,0.006232,252.385,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,128,256,0,10,0.051712,0.050432,0.057504,0.001875,0.006464,243.327,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,256,256,1,10,0.050112,0.048480,0.052320,0.000897,0.006264,251.096,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,512,256,0,10,0.053344,0.052128,0.055840,0.001048,0.006668,235.882,1300,MAXN,53.0,13.2,13.2
524288,1048576,1572864,8,1024,256,0,10,0.062096,0.060800,0.066784,0.001618,0.007762,202.636,1300,MAXN,53.0,13.2,13.2
