mode,reuse_N,k0_bytes,k1_bytes,combined_read_footprint_bytes,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,single_k0_GBps_ref,single_k1_GBps_ref,scaling_efficiency,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
symmetric,4,12582912,12582912,50331648,1024,1024,256,10,1.584592,190.579,107.025,95.289,183.774,183.774,0.518514,1300,MAXN,55.2,13.2,13.2
symmetric,8,12582912,12582912,50331648,1024,1024,256,10,3.165760,190.785,101.004,95.393,183.774,183.774,0.519075,1300,MAXN,55.2,13.2,13.2
symmetric,16,12582912,12582912,50331648,1024,1024,256,10,6.336464,190.636,98.027,95.318,183.774,183.774,0.518670,1300,MAXN,55.2,13.2,13.2
symmetric,32,12582912,12582912,50331648,1024,1024,256,10,12.689904,190.381,96.511,95.191,183.774,183.774,0.517976,1300,MAXN,55.2,13.2,13.2
symmetric,1,25165824,25165824,100663296,1024,1024,256,10,0.799584,188.842,175.080,94.421,187.611,187.611,0.503280,1300,MAXN,55.2,13.2,13.2
symmetric,2,25165824,25165824,100663296,1024,1024,256,10,1.589456,189.996,122.656,94.998,187.611,187.611,0.506356,1300,MAXN,55.2,13.2,13.2
symmetric,4,25165824,25165824,100663296,1024,1024,256,10,3.172736,190.366,107.494,95.183,187.611,187.611,0.507341,1300,MAXN,55.2,13.2,13.2
symmetric,8,25165824,25165824,100663296,1024,1024,256,10,6.340976,190.501,101.067,95.250,187.611,187.611,0.507701,1300,MAXN,55.2,13.2,13.2
symmetric,16,25165824,25165824,100663296,1024,1024,256,10,12.692080,190.349,97.968,95.174,187.611,187.611,0.507296,1300,MAXN,55.2,13.2,13.2
symmetric,32,25165824,25165824,100663296,1024,1024,256,10,25.415215,190.116,96.435,95.058,187.611,187.611,0.506676,1300,MAXN,55.2,13.2,13.2
asymmetric,1,1048576,262144,2621440,128,64,256,10,0.019872,197.874,166.194,39.799,270.437,97.524,0.537759,1300,MAXN,55.2,13.2,13.2
asymmetric,2,1048576,262144,2621440,128,64,256,10,0.035232,223.215,178.572,45.553,270.437,97.524,0.606627,1300,MAXN,55.2,13.2,13.2
asymmetric,4,1048576,262144,2621440,128,64,256,10,0.061440,256.000,204.800,52.054,270.437,97.524,0.695726,1300,MAXN,55.2,13.2,13.2
asymmetric,8,1048576,262144,2621440,128,64,256,10,0.116720,269.511,218.544,57.555,270.437,97.524,0.732443,1300,MAXN,55.2,13.2,13.2
asymmetric,16,1048576,262144,2621440,128,64,256,10,0.223072,282.037,225.630,60.166,270.437,97.524,0.766486,1300,MAXN,55.2,13.2,13.2
asymmetric,32,1048576,262144,2621440,128,64,256,10,0.428064,293.949,235.159,64.178,270.437,97.524,0.798860,1300,MAXN,55.2,13.2,13.2
asymmetric,1,1048576,524288,3145728,64,256,256,10,0.033104,142.538,98.157,47.513,270.437,168.617,0.324649,1300,MAXN,55.2,13.2,13.2
asymmetric,2,1048576,524288,3145728,64,256,256,10,0.050208,187.962,126.640,63.710,270.437,168.617,0.428106,1300,MAXN,55.2,13.2,13.2
asymmetric,4,1048576,524288,3145728,64,256,256,10,0.085824,219.919,149.540,76.680,270.437,168.617,0.500894,1300,MAXN,55.2,13.2,13.2
asymmetric,8,1048576,524288,3145728,64,256,256,10,0.155664,242.501,162.436,85.631,270.437,168.617,0.552327,1300,MAXN,55.2,13.2,13.2
asymmetric,16,1048576,524288,3145728,64,256,256,10,0.300144,251.538,167.692,88.877,270.437,168.617,0.572908,1300,MAXN,55.2,13.2,13.2
asymmetric,32,1048576,524288,3145728,64,256,256,10,0.581776,259.541,173.028,90.141,270.437,168.617,0.591138,1300,MAXN,55.2,13.2,13.2
asymmetric,1,1048576,1048576,4194304,128,64,256,10,0.042016,149.740,79.566,74.870,270.437,270.437,0.276847,1300,MAXN,55.2,13.2,13.2
asymmetric,2,1048576,1048576,4194304,128,64,256,10,0.076896,163.635,85.352,81.818,270.437,270.437,0.302539,1300,MAXN,55.2,13.2,13.2
asymmetric,4,1048576,1048576,4194304,128,64,256,10,0.147536,170.574,89.642,85.287,270.437,270.437,0.315368,1300,MAXN,55.2,13.2,13.2
asymmetric,8,1048576,1048576,4194304,128,64,256,10,0.279600,180.013,98.372,90.007,270.437,270.437,0.332819,1300,MAXN,55.2,13.2,13.2
asymmetric,16,1048576,1048576,4194304,128,64,256,10,0.505728,199.046,109.814,99.523,270.437,270.437,0.368009,1300,MAXN,55.2,13.2,13.2
asymmetric,32,1048576,1048576,4194304,128,64,256,10,0.961168,209.460,115.739,104.730,270.437,270.437,0.387263,1300,MAXN,55.2,13.2,13.2
asymmetric,1,1048576,1572864,5242880,128,256,256,10,0.050048,157.136,68.696,94.281,270.437,270.437,0.290522,1300,MAXN,55.2,13.2,13.2
asymmetric,2,1048576,1572864,5242880,128,256,256,10,0.092896,169.315,73.996,101.589,270.437,270.437,0.313039,1300,MAXN,55.2,13.2,13.2
asymmetric,4,1048576,1572864,5242880,128,256,256,10,0.177888,176.838,75.020,106.103,270.437,270.437,0.326948,1300,MAXN,55.2,13.2,13.2
asymmetric,8,1048576,1572864,5242880,128,256,256,10,0.341312,184.332,82.100,110.599,270.437,270.437,0.340803,1300,MAXN,55.2,13.2,13.2
asymmetric,16,1048576,1572864,5242880,128,256,256,10,0.664880,189.251,92.261,113.551,270.437,270.437,0.349898,1300,MAXN,55.2,13.2,13.2
asymmetric,32,1048576,1572864,5242880,128,256,256,10,1.317136,191.065,94.894,114.639,270.437,270.437,0.353252,1300,MAXN,55.2,13.2,13.2
asymmetric,1,1048576,2097152,6291456,256,1024,256,10,0.058640,160.934,83.203,107.289,270.437,153.360,0.379744,1300,MAXN,55.2,13.2,13.2
asymmetric,2,1048576,2097152,6291456,256,1024,256,10,0.108512,173.938,71.572,115.959,270.437,153.360,0.410428,1300,MAXN,55.2,13.2,13.2
asymmetric,4,1048576,2097152,6291456,256,1024,256,10,0.210592,179.251,65.678,119.500,270.437,153.360,0.422963,1300,MAXN,55.2,13.2,13.2
asymmetric,8,1048576,2097152,6291456,256,1024,256,10,0.410592,183.875,71.316,122.583,270.437,153.360,0.433874,1300,MAXN,55.2,13.2,13.2
asymmetric,16,1048576,2097152,6291456,256,1024,256,10,0.803680,187.879,79.703,125.253,270.437,153.360,0.443324,1300,MAXN,55.2,13.2,13.2
asymmetric,32,1048576,2097152,6291456,256,1024,256,10,1.590288,189.896,84.613,126.598,270.437,153.360,0.448083,1300,MAXN,55.2,13.2,13.2
